epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.573,3.67744,4.22514,2.08394,0,0,0,0,0,0,0,0.000237457,0.000237457,0.000237457
2,963.227,3.43154,3.11618,1.86462,0,0,0,0,0,0,0,0.000428386,0.000428386,0.000428386
3,1487.42,3.3322,3.00544,1.8143,0,0,0,0,0,0,0,0.000572192,0.000572192,0.000572192
4,2019.21,3.23427,2.90601,1.76731,0,0,0,0,0,0,0,0.000501942,0.000501942,0.000501942
5,2582.6,3.13729,2.78548,1.71467,0,0,0,0,0,0,0,0.000431256,0.000431256,0.000431256
6,3301.96,3.06262,2.70819,1.67756,0,0,0,0,0,0,0,0.00036057,0.00036057,0.00036057
7,4029.12,2.97395,2.5968,1.62827,0,0,0,0,0,0,0,0.000289884,0.000289884,0.000289884
