epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.668,3.55568,3.89977,1.98185,0,0,0,0,0,0,0,0.000237457,0.000237457,0.000237457
2,1159.88,3.30067,3.01817,1.76434,0,0,0,0,0,0,0,0.000381316,0.000381316,0.000381316
3,457.303,3.27896,2.95752,1.79557,0,0,0,0,0,0,0,0.000430928,0.000430928,0.000430928
4,947.208,3.13625,2.78906,1.71062,0,0,0,0,0,0,0,0.000289884,0.000289884,0.000289884
5,1465.37,3.00143,2.64338,1.63929,0.000148512,0.000148512,0.000148512
