epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.094,2.90182,2.53026,1.59637,0,0,0,0,0,0,0,0.000237457,0.000237457,0.000237457
2,819.605,2.93878,2.5561,1.61254,0,0,0,0,0,0,0,0.000428386,0.000428386,0.000428386
3,1216.5,2.93506,2.55088,1.61382,0,0,0,0,0,0,0,0.000572192,0.000572192,0.000572192
4,1607.18,2.90389,2.51762,1.60194,0,0,0,0,0,0,0,0.000501942,0.000501942,0.000501942
5,1990.78,2.84036,2.43418,1.56104,0,0,0,0,0,0,0,0.000431256,0.000431256,0.000431256
6,2373.81,2.79806,2.39578,1.54787,0,0,0,0,0,0,0,0.00036057,0.00036057,0.00036057
7,2750.58,2.72717,2.31844,1.51052,0,0,0,0,0,0,0,0.000289884,0.000289884,0.000289884
8,3124.94,2.68828,2.27692,1.4875,0,0,0,0,0,0,0,0.000219198,0.000219198,0.000219198
9,3500.41,2.62558,2.20369,1.45504,0,0,0,0,0,0,0,0.000148512,0.000148512,0.000148512
10,3878.78,2.57977,2.1666,1.43467,7.7826e-05,7.7826e-05,7.7826e-05
